@relation weka_SO_comments_model

@attribute text string
@attribute @@class@@ {good,bad}

@data
'Well, you can change the MAC address of the wifi adapter though the registry. Why wouldn\'t the OS also let you change it through the control panel especially if it\'s much easier that way?',good
'Why we have to look for zero crossing point ? and also i noticed in the documentation that there are a set of zero crossing variables for some blocks which is used to detect upper threshold or lower threshold. why we have to detect upper or lower threshold ?',good
'is there a less invasive way to deal with binding address and port that doesn\'t involve changing Program.cs? Something done at runtime. How does Visual Studio do it?',good
'AFAIK expects array as a parameter',good
'I haven\'t touched the post except to add the UPDATE and UPDATE parts.',good
'Now plays every time but the original memory problem is still there?',good
'You can if the column is set to auto-increment and not null dev.mysql.comdocrefman.enexample-auto-increment.html',good
'Ok, I added the ZipDelegate Delegate',good
'You might want to bring this up on the Xamarin forums, but I\'m reasonably confident that this won\'t work.',good
'i dont have the permission to add a comment, so i added it as an answer.',good
'first is not working becouse after you will be behind the root directory is , is parent of .',good
'I have added some info. hope it clarifies.',good
'nope, been there, done that',good
'Oh I just realized that. I changed it to a var. But is my comment above yours the way to update that variable?',good
'Your long lines scare off the help.',good
'You are not answering my question. I could maybe work around it that way in HTML but in PDF I could not get it to work. I guess its CSS support is not strong enough to do it. Forcing a square logo is in any case just really bad system design - at least without giving the option of choosing between the two formats.',good
'This does not provide an answer to the question. Once you have sufficient reputation you will be able to comment on any post instead, provide answers that don\'t require clarification from the asker. - From Review',good
'replace by where yourlink is the targeted url',good
'Thank you so much! you saved my day actually',good
'It\'s a nearly new computer - and I do not recall having set to custom sbt launcher Will check! Thx for the suggestion in any case - will upvote now.',good
'Sorry, I thought the run Fedora on a R-Pi and use a TFT display on it? bit was self evident. PiTFT displays are for the Raspberry Pi. I have a raspberry pi model B that is running Fedora as a OS, and I\'m attempting to get display output through a . PiTFT monitor. My question was general on purpose and remains the same. I would like to know if anyone has gotten any TFT based screens working with RPi in tandem with Fedora as the OS, as I\'m looking for a place to start. A proper, exact solution goes beyond the usual scope of stackoverflow. P',good
'What is your goal? What problem are you trying to solve? Why are you running non-interactively? There almost certainly is a better method to go about doing what you\'re trying to do.',good
'Use System.currentTimeMillis. Bytes per second literally means byte count divided by seconds elapsed.',good
'I always thought, i am the only one that thinks that users on this site is obsessed with down voting. that\'s why i rarely post on this site. I think people are more friendly on MSE, CGSE or GDSE, never got a single down vote there. But what can you do, this site is probably the best place for such language specific question.',good
'You probably get a crash at getjsonarray objectAtIndexindexPath.row trying to access an object which is not there. Check if getJsonArray is not nill and holds some vallues.',good
'you are right, typo. please see edit.',good
'If I could give another tip, I would say don\'t let it autoplay, or if you let it autoplay, make it silent. Nothing is more annoying than entering a website then being blasted by loud music or narration. punkchip.comautoplay-is-bad-for-all-users',good
'Thanks, that was helpful enough. I will look into service - it may actually fit my need. In practice it\'s not just one method I want to move, so a service may make sense.',good
'I don\'t think this is a duplicate. Not every plot is a raw image. For example, if we start with a simple , it is not clear at all how one could save that as with PILPillow.',good
'What specifically do you not know how to do? Do you know how to read in from the console, do you know how to write out to the console?',good
'And this should be a comment',good
'While this code may answer the question, providing additional context regarding how andor why it solves the problem would improve the answer\'s long-term value.',good
'it is not resolved. you can see it is opened for now.',good
'Configuracao.loggedindocument could be thread unsafe - depends on how you have implemented it',good
'what is imageBytes?',good
'Ok, then go ahead and add that at the end of your downgrade action.',good
'yes, you will need to create a date object.',good
'I changed the tags from to . Still, should work for both.',good
'When you construct the adapter, it looks like you\'re passing in the current state of the data. With the other data network accessing methods, it doesn\'t look like you\'re passing in any of the updated state to the adapter.',good
'Great answer. I suggest you add another code block for the flag -v option though. As my eyes read the answer they immediately went to the code blocks and not the text surrounding it. If others do the same they\'ll miss the -v portion.',good
'I resolved my problem by creating another property and setting it false when condition fails. oncompleteifuserAdminBean.validationResult true javascriptRichfaces.showModalPanel\'popUpPanel\'',good
'Possible duplicate of How do I return the response from an asynchronous call?',good
'I think that solves it, I\'ve included an update to my question. If you want to, please post an answer so that I can accept it. Thanks!',good
'I am not sure that avoiding flattening conversion to polygons is feasible. Indeed, the intersection equations are not analytically solvable and you\'ll have to sample the outlines anyway admittedly in a non-uniform way. By dropping it willingly, you loose the safety of topological correctness possible with polygons.',good
'Amazing stuff! Works like a charm',good
'How would I verify? I think you are right. I ran and then reran the source on and it seems to have worked. I\'m not sure what it was running if it wasn\'t Bash. Thanks',good
', I\'ve already used the MyWiFiMesh app, and I can\'t get the two devices to connect to each other. Is it necessary to start the application in both devices at the same time, or do I have to install or root the mobile to let it work? Thank you for your help.',good
'You case use instead of .',good
'Variance applies to generic type parameters, so it is which is covariant in . Contravariance reverses the subsupertype relationship, and the parameter types of delegates are contravariant. The use of a contravariant parameter in a contravariant position is covariant as the ordering is reversed and then reversed again.',good
'- That\'s a very broad question. Stack Overflow can help answer specific questions, but not provide you with entire tutorials custom-made for your needs. What you have here, quite honestly, is a mess of code that won\'t work for multiple reasons. Implementing your requirement isn\'t going to happen until you get a handle on the basics. Don\'t just dive in and build a complex page with no experience. Start small and build up to it, one small feature at a time.',good
'Good point. Before I do this, I will review the other tables and see if I have another method of accomplishing the same goal. Thanks for the encouragement and help. I do appreciate it.',good
'Ill try it, but it seems really performance intensive',good
'Got it . Thanks again . Will do!',good
'If the original is built from a dense array, that feature I happen to like it isn\'t an issue. It arises only when you build the from \'raw\' data, row, col arrays.',good
'in your query example you\'re using lowercase p as parameter, not uppercase P. I have no idea why what would yield a result where is set to assuming that you don\'t have any weird Mongoose middleware active.',good
'I repeat - what means?',good
'Added it as an answer, please accept it if it works. Thanks',good
'You don\'t need the first and - just try left join dataX where two and six and CD DVD and .',good
'The reason it gets printed out to the client is in cases where the failure is at such a low level that it cannot be logged e.g. if there\'s a bug in the logging code itself.',good
'Output without Sample Data doesnt help us to understand your problem',good
'There are too many potential answers to this question. Do you want to sort the data before you build the table or do you actually want a table where you can click a header to sort?',good
'Yeah, ideally just see the user registration edit page again.',good
'that profiles VBA code? I\'m looking to profile Power Query code. While I\'m using VBA do to so, profiling the VBA code itself doesn\'t help me. That\'d be like profiling the profiler.',good
'Is the snippet perhaps missing something between and ?',good
'works perfect! Just read the document linked here. removed from version c onwards.',good
'what this Controller??',good
'Touch - I was thinking could be similar to using Base avoid complex encodings.',good
'And here\'s a sample output studentID array , , , , randomNum array , , , , , , , , , , , , , , , , , , , was found in the random array was found in the random array',good
'the url would be something like',good
'Without access to the code, how did you write it to a text file?',good
'This is what fixed it for me - mine got stuck on processing assemblies seemingly for random, different assemblies every time. I searched for SolutionCaches in that folder and deleted the contents of each result. Seems to be fixed now.',good
'There could be a limit on your MySQL installation, but not one inherently with PHP. More information is at dev.mysql.comdocrefman.enpacket-too-large.html. I\'d really really recommend binding your variables, because one bad variable here will break your whole query.',good
'Not really.. I\'m just using a separate logger instance from the framework',good
'Because inside of double quotes is used to escape special characters like for a newline as an example. So you have to escape the slash by adding the second so that PHP treats it as a literal slash. Honestly, a better approach is to simply encase strings with single quotes unless you need the additional functionality you get from double quotes. So in short, you can use as long as you encase it in single quotes like',good
'thanks a lot',good
'Hey, Magneto, Yet too much . By the way, for recursive .',good
'Sounds like you want an Echo server. There are many tutorials on them that you are welcome to find yourself.',good
'In the conditional loop, it checks that the value stored in key doesn\'t already exist. If the key email that matched the user email did exist in both places, then it would stop the program.',good
'Well, there any way I can? I mean that was half of the point of this post. Dumas',good
'Are you sure you\'re running Bash? I can\'t reproduce the etc.',good
'i even removed the value old\'name index thing but still the same error.',good
'No idea. . . .. .. ..',good
'Can you run in out in a terminal? ? I am certain you\'d see the behaviour there..',good
'Initially question was how to replace characters in a string, which explains this answer.',good
'It didn\'t. I officially have no idea what\'s going wrong with your bot. You didn\'t post a clear problem statement, you didn\'t post any code, and you don\'t appear to have read the tour, especially where it describes how to ask a good question and how to write a Minimal, Complete, and Verifiable example. I tried and failed to psychically deduce the problem you\'re having. If you want any further help, you\'re going to have to post a question that can be answered.',good
'unless the coefficient you use is the square root of the correct coefficient.',good
'I will try tomorrow on my work machine. Thank you!',good
'you can not insert as id! Also a comma is missing after \'user\'',good
'I\'m using Microsoft\'s API Explorer with the key they generated and only receiving s. I think this is an issue on Microsoft\'s side.',good
'The reason it\'s not a simple BFS algorithm is that we often have to recolor rooms. Consider the input set and In this case the second room would initially be colored with a separate color than the first room, but should subsequently be recolored with the same color as first room. I don\'t think there\'s a way to do this in On, but I\'d love to see an actual coding attempt!',good
'How did you figure out it was for that reason?',good
'try the updated code now. You can adjust the parameters you want to retrieve from the original string by modifying the value when calling the',good
'Hmm. True At least it doesn\'t return incorrect values. Will add caveat above.',good
'There was an issue with rake tasks and remote Vagrant SDK youtrack.jetbrains.comissueRUBY- Could you please check the last EAP .?',good
'Bello took a little finagling, i.e needed to change .Contains\'\' to .Contains etc. but overall works very well. I use direct SQL commands elsewhere but they dont seem to work with this app.',good
'I guess you can take a look to the library from the standard collection. Their is some good posts here explaining how to use python threads and gathering their return values like stackoverflow.comquestions it\'s not really parallelism on python side, but both requests will be made almost simultaneously.',good
'Hello, I have checked and rechecked my spelling about times. I checked my composer.json file and the contents you mentioned are in there.',good
'Then you\'re synchronizing for ports, not the code. Create a lock or a SafeRunner controlling the port.',good
'what happens if you just',good
'Thanks DLight. I updated the links accordingly.',good
'document.write cannot',good
'Thanks Rotem, vote up for your reply. I updated my post with Update , I have set Python interpreter from Preferences Project Interpreter, but I do not see the gear button in step of your instructions. Any thoughts?',good
'Yeah, it works, but not very well.. And it is absolutely wrong for the top',good
'thanks both for the suggestions and advice, I had to settle for a work around due to lack of time. I\'ll add a sample input output to make things clearer next time. Cheers',good
'On the site they specify the dot because they are using router.navigate which is what they use throughout their heroes samples which is good because it forces you to start from the beginning and work up a history. But in some cases where you want the user to be able to directly travel to a particular path then you\'d have to use',good
'Worked like a charm. Thanks!',good
'This does not provide an answer to the question. To critique or request clarification from an author, leave a comment below their post. - From Review',good
'I updated the code and when I press on either button the third button doesnt show up.',good
'ok I will show my work.',good
'you could set the color indexes to variables and then in your condition code just say myCell.Interior.ColorIndex variable. Or you could say myCell.Interior.ColorIndex myCell.Interior.ColorIndex to match it with another cell\'s color',good
'I doubt this compiles.',good
'If an image helps, yes, post it. But in this case, having the text provides all the context for the question within the question, without needing to leave the page.',good
'Sir, yes sir!',good
'It works very well but i got a new little problem, i think easy to solve. I updated the main post',good
'Yep. You need the double quotes around the String you need to exclude.',good
'gives , and I get the same exact error both times',good
'Create another array with entries as followed a. Use Math.random method to generate numbers between zero and to populate each entry of your array hint loop. b. Sort the entries in this array from lowest to highest array.sortfunctiona, breturn a-b . Display values of each array on a separate paragraph p p .',good
'does it support JSON Schema? I\'m not finding that support if it\'s there.',good
'If the returned data size is small, it is easier to use a modifier in the query. If not, then, in my opinion, it is better to add a new property, where the value is stored in uppercase or lowercase and be sure to create index on this property.',good
'I don\'t think there is any real error, it seems to just make my page load shorter than it should. I will check the console.',good
'well it is more pythonic becaues \'explicit is better than implicit\' but my understanding is that pandas will infer the merge keys. EDIT The documents confirm this If not passed and and are , the intersection of the columns in the DataFrames will be inferred to be the join keys',good
'So you change the page, a new page is loaded and current one is gone. How can video be still playing?',good
'no still its not working..',good
'Why does console.logformData shows empty?',good
'I think you want zxc.nested.foobar instead of ?',good
'I\'m still new to coding but I\'ve had friends of mine with more experience use similar methods. In the end, you can always check if the context is an instanceOf MainActivity prior to execution.',good
'Please see namespaces in the post.',good
'Are you attempting a design that is something like this? jsfiddle.nettekaytzg',good
'I have testet L, QSA, NC instead. No function again!',good
'Have you tried profiler? The images are down in the official site, but, I saved the site before that, check this link to get the images',good
'It should be accepted answer',good
'I extend my answer. I have some questions for you. How are you trying to pass your ? reads environment variable, are you setting it properly? Are you using virtualenv?',good
'Pointers are no different than other types in this behavior. Try the same experiment with some s',good
'The community will help solve specific coding issue. Please try something and get stuck in the code and ask for help not just ask us to do it.',good
'Is there any way to replace the text with a hyperlink? The main point I forgot to put in my main post was that I had no idea how to even make the text link either.',good
'ok, done. Thanks',good
'I\'ll add an example of what the records currently look like in the CSV file, and what I want them to look like. Edit should pop up in mins.',good
'Strange. regardless, running from SSMS will tell you what server you\'re connected to. You can also visibly see all of the servers you\'re connected to from the pane.',good
'I edited my question, taking into account your suggestions.',good
'The order is very important for obfuscate a package and exclude one file, thanks for this.',good
'Now it\'s time to learn what means',good
'Provide source from where you have insalled vqmod',good
'Checking it out now. Thanks!',good
'what do you mean by pre-processing? in your case you just go with',good
'Thanks for the tip on how to go about it. This is my first effort on front-end development, so tying it all together is interesting.',good
'- I did an update with code',good
'Thanks, that I understand! I\'m not sure what the url would be, something like mydomainpathtorootDir ?',good
'It sounds like OP wants a script to automatically choose an option in a menu presented by the JIRA installer. They don\'t want to write a script to present a custom menu to the user. Here\'s a post on the Atlassian forum for how to install and skip the wizard.',good
'Rather than using , wouldn\'t a simpler suffice?',good
'So don\'t post an image and instead post only the description of the erroneous text ?',good
'Wed Jun . corealert pid client ... optlampphtdocsstreamdream.htaccess RewriteRule bad flag delimiters',good
'Creation is ok now but i still have problem with deletion. I uploaded my new code. Can you look at this? When i click on Destroy button i\'m redirected to place page and entry is not deleted. I want to have question window and deleteion on one page. Thanks',good
'Yes, that\'s the element that I would prefer to have the classes added too. However, I have changed the selector to that and it remains the same. I also apologize for mistyping the \'.datepicker\' class.',good
'From the Help Center Links to external resources are encouraged, but please add context around the link so your fellow users will have some idea what it is and why its there. Always quote the most relevant part of an important link, in case the target site is unreachable or goes permanently offline.',good
'So, how to think ? Logically ? It is not such easy',good
'Links perhaps??',good
'Ah so the CommandType was what was throwing me off! You\'re also right about the stored procedure definition being invalid, I wasn\'t sure if what I was doing was valid and so now I know. Thank you so much! The learning adventure continues haha!',good
'Most probably you have to connect to or they are synonyms. If no success open Computer Management, navigate to Services, find SQL Server and read its instance name. Also make sure it is started.',good
'I tried to put as index but still same error',good
'try setting tableview separator to none and seeing where hiding views of cell one at a time to see where the shadowseparator is popping up',good
'This package.json from this quickstart guide also loads ..-alpha. so it appears it\'s inclusion is deliberate.',good
'gives me a syntax error.',good
'I have not been able to figure out what js will solve this problem.. currently I just have var myurl url string to match',good
'yes - this is not supported, one question do you need to get only result passing year criteria, or array can have other results as well?',good
'Late comment I\'d think that setting something like the text for a button to a simple variable or function makes more sense in the markup than in the code behind. Especially if you have many buttons set with textliteral, but one or two need some code, it\'s annoying that most are set in the markup but the exceptions are in the code behind. Now I not only have to look in two places to see the text values, but I have to search to find the place in the code behind. I certainly wouldn\'t put ten pages of code in the markup, but a simple textltfoo.bargt seems very useful. Whatever.',good
'One last thing. If I choose to do as you\'ve shown option where exactly would I place that code?',good
'You\'re welcome! If you found useful my answer please accept it and upvote. It is not to feed my ego but to help other users showing that the answer is correct.',good
'Do shape names ever get referenced in XLANG or code? As in, do they need to follow strict variable naming schemas? Or are they for display only, and can be descriptive like your example without ill effect? Increment Loop Counter',good
'Do you have a namespace on your controller class?',good
'thanks for your answer, i think u are right, but its also not working with brackets. other polygons are also stored with brackets.. strange. i also checked start and endpoint - its the same. i am inserting this polygon using PHPmongoDB .. no error occurs, but its also not in the collection',good
'That would mean onepage life cycle. If n users are loading the same page at the same time, that would be n values for that page. The problem is that the value of Session should be emptied. I still stick to the Page property idea as the best so far, but I hope there are more elegant ways. For now I will implement that one.',good
'Just a note, though boostcoroutine is a great library, c coroutines are on track to becoming a core c feature post C. Currently defined in a tech spec, and reference implementations are in Visual Studio , and Clang wg.linkpr',good
'Zhu, thank you for posting, but I did not have luck with that code',good
'any help on this',good
'I\'m not sure why you have the footer-bar wrapped in an ion-content section, but you shouldn\'t need that. Can you also post all your stateProvider code?',good
'that is the code that I\'ve tried. It doesn\'t change anything. Obviously, I\'m doing something wrong but not sure what. The point is to copy the path in img srcpathtoimg in its parent a as a data-largesrcpathtoimg',good
'You can log the value of in your recipe code via a log resource.',good
'No the object id is not Content. Have a look at at the most left column name in dashboard. Its objectId.',good
'What are you trying to accomplish with the final result. The update I posted using Merge creates a data frame that contains the original data set along with the information in the csv file. You can then either export the data or do something else with it.',good
'Hey! Read this',good
'Could you provide more details on the exception? Does it provide information related to which method that you\'ve included it\'s coming from?',good
'This does not provide an answer to the question. Once you have sufficient reputation you will be able to comment on any post instead, provide answers that don\'t require clarification from the asker. - From Review',good
'This does not provide an answer to the question. Once you have sufficient reputation you will be able to comment on any post instead, provide answers that don\'t require clarification from the asker. - From Review',good
'since you are relying on a private undocumented API, you are responsible for validating that API on every new release and make adjustments to your code accordingly. There is no guarantee that exported ordinals will not change from one release to the next. Public DLL exports should be exported by name to avoid this problem.',good
'I\'m confused. Is that your desired output? Are you looking to insert a row at a desired location or get multiple names for each column?',good
'If you want percent time you might want a instead of . Also please show how you setup the performance counter, the class is not one that is built in to .NET',good
'check this brutal way to find the right font size, I use it a lot.',good
'If the option isn\'t there, the wireless card doesn\'t support it. Do you think that just arbitrarily adding options to the dialog magically makes them work? If that were so, I\'d very quickly add the Print US currency large bills to my printer\'s options.',good
'Would it be possible to return a data-frame? This function returns a list and it is not obvious how you return a data-frame.',good
'You need to give us more information about how this \'randomNum\' array should be build',good
'What you have is correct overall though double check for typos but if you are setting the node attribute via some converge-time trickery it might cause issues.',good
'Okay . step by step. returns of ABC is dependent variable and returns of Bench is independent variable on day. returns of ABC is dependent variable and returns of Bench is independent variable on day . returns of XYZ is dependent variable and returns of Bench is independent variable on day. returns of XYZ is dependent variable and returns of Bench is independent variable on day . Have I made myself clear?',good
'It works! Thanks Could You explain it to me step by step? I would like to understand it for the future.',good
'Indeed, a downgrade fixed this. I scared away from downgrading as I am not very familiar with Linux Ubuntu yet and I only found the way to do it with the tar before, but with synaptic it\'s been very easy.',good
'is a val. It can\'t be modified.',good
'Yes I have this line uses-permission androidnameandroid.permission.WRITEEXTERNALSTORAGE',good
'So most of your code has to be in a while loop- for every loop, you\'ll want to generate numbers, display the problem, get input, check correctness. If it\'s correct, you\'ll need to increment a counter otherwise you\'ll break from the loop and print the number of corrects. Code edited to show- you\'ll have to add the ending print statement.',good
'That helped a lot. Thanks. I can only accept the answer but not upvote. Sorry about that.',good
'Any suggestions are welcome.',good
'I tried turning the firewall off so that it can have access to remote connections. A solution told me to do so',good
'Happy to help, not sure why are you getting down votes. It will help if instead of a link to an image, you post the relevant parts on your file in the question text instead.',good
'The is used to change the null value to default value, like if user put it blank , then it will save the value as .',good
'Ok I get it that hack is for triggering Angular digest cycle which I did manually. I still don\'t understand why it is not working with return. In the link you say Chai as Promised\'s assertions are regular Chai assertion objects, extended with a single then method derived from the input promise. This bit I do not understand, does that mean Angular q promises are not compliant ? It has a then function, Does Chai not wrap it ?',good
'Get rid of the and use instead',good
'Have you tried it? will. well I think you can guess.',good
'How does this solve the problem? For example, click in the latin text area. This should toggle the tooltip off. However it does not.',good
'so i\'d have to do pre-processing in my controller prior to using moment to format the date for me, correct? There is no way to bypass the pre-processing?',good
'Your remarks are welcome and I will contribute as the study of your code helped me a lot. By the way your edit fiddle is really impressive.',good
'I don\'t understand why you don\'t have access to the position of your slider while in your callback. Please provide a Minimal, Complete, and Verifiable example.',good
'I\'m no VB expert, but isn\'t that getting the first X characters of the string, where X count of periods - ?',good
'You are right this is what I\'m looking for but I don\'t really understand it since we didn\'t do a lot of programming in high school and also English is not my native language so that makes things even harder. TY nonetheless.',good
'I\'ve never tried but it is indeed possible to do that, provided that the process is running with elevated permissions. I, however, do not recommend to do so',good
'I don\'t want to render them outside of the render function. Just add children to a component via its id and then trigger the rerendering so the changes will apply.',good
'I want server to generate dynamic page and send XAML to client app which client app can load as a content page.',good
'I wondered why there would be a problem with reducing with concat, given that the operation is associative. But then I read the javadoc and indeed found a technical issue warning Use caution when constructing streams from repeated concatenation. Accessing an element of a deeply concatenated stream can result in deep call chains, or even StackOverflowException. I guess the last alternative is not only the most elegant one, but also the most robust one then.',good
'I\'m learning WPF and amazed at how difficult it makes some minor tasks. Having to reference the API DLLs just to set a window position is ridiculous.',good
'If this has solved your question, please select the check mark so that people will know. Thank you for updating your question btw.',good
'nice but sadly slow because of this todict conversion',good
'Coroutines are on track to becoming a language feature post c wg.linkpr',good
'So what does returns? !',good
'put a exception breakpoint in your code and then check at which line it crashes',good
'Structurally, do the random operations do the same thing like pass a formulavalue to each cell which you can pass a parameter? Does code differ by groupingcategory which you can add conditionals in general function. Please post more detail.',good
'Read last line of my answer.',good
'Like you\'ve done in , you could fetch the value from the DB or some place',good
'The list template looks ok. The problem might be in .',good
'I don\'t know how to inset it, but sizeToFit hasn\'t worked.',good
'sizeToFit could be a good try, also you can search how to adjust font to fit uilable or how to adjust uilable to fit font. tons of posts here in stackoverflow.',good
'Apologies, I have posted the segment I think is the problem, but am not sure. I can post more, if needed.',good
'I have a backup of the database and the table if something happens. In theory it would be easier for me to delete all data in SQL, delete the rows from the back I do not want and then import the data back into SQL but I keep having the timeout error which would take all day to fully upload. I do not have a WHERE statement as my only goal is to delete the first records.',good
'If you have a new question, please ask it by clicking the Ask Question button. Include a link to this question if it helps provide context. - From Review',good
'jewelsea, subject to mentioned numbers sessions per day records per session days K records - does it make difference which embedded DB to chose? I m inclining to Derby because it has more tutorials as far as I see',good
'Please verify, it should work for any length now.',good
'I think I\'m confused -- for the first method using , seems like that\'s going to be a resource hog. And also, I don\'t know how to get that to search through every row in my initial dataframe. And for merge -- I\'m looking at the documentation, and I\'m not sure that this is doing what I want it to do? There will be multiple records in the CSV file that share the same ZIP code -- should a merge work even if that\'s the case? And also, since there will be some ZIP codes in the original database that don\'t match with the CSV file, will it create thousands of extraneous rows?',good
'Is it clearer now?',good
'perhaps you can try to allow only portrait mode when entering background, so that it at least wouldn\'t generate distorted snapshot . but i think this is a good question, and hope somebody else could offer some insights',good
'You forgot to post your JavaScript',good
'returns the Wrong number of arguments error. The doesn\'t have any issues when I just ask it to be stored in the spreadsheet, so I assume that\'s fine as is. I did declare x as an integer I just didn\'t display it in my question.',good
'yes I got your point. I tried this - select from select from select countcourse as pcourse , course from studies group by course order by pcourse desc resultset where rownum order by pcourse asc resultset where rownum and got second row. Thanks',good
'error should be fixed by a solution above. other issues go out of this thread frame.',good
'now it says Syntax error in INSERT INTO statement.',good
'No one in my lab can reproduce my problem either haha. You raise an interesting point though import matplotlib matplotlib.version \'unknown\'',good
'Though, something still doesn\'t quite make sense. Why would you try turning the firewall off to see which SQL Server you connected to in SSMS? It just seems like a really odd thing to try. I\'m curious - do you have a specific SQL Server you\'re trying to access?',good
'Could you answer on my questions see the previous comment? For example, how many total items of data invoices you need to display in the grid.',good
'Great edit! This definitely helped me piece things together. With your example, I now see that anything that is defined at the Orchestration level OR the Scope level if I\'m inside that scope is available to an ExpressionMessageAssignment shape via XLANG. That helps quite a bit! Thanks!',good
'What is the code that you have doing and how is it different from what you intended?',good
'before rownumber',good
'.toggleClass ?',good
'Good point. That works aswell.',good
'This works great. Except, it doesn\'t delete branches with the word \'master\' in their name. e.g. master-TRIAG-. I\'ve tried the solution below , but that still includes the actual master branch when I try it.',good
'I\'m starting to think more and more that it\'s the user the job is running under. In the log, I am back to getting the ol\' message, and then it shows the message. Both repos exist, both have my idrsa.pub added to the them.',good
'You lost me when you said thread. Coroutines shouldn\'t need threads.',good
'Yes the downvote is probably due to your question being unclear. Try and address the issues raised by Dan and I and edit your question to be clearer.',good
'No, they get replaced by the app, which I tried to clarify in the question.',good
'In input tag you can also specify name attribute then you get vars data after submission of form.',good
'Meant ARC, sorry! Doesn\'t matter, was just trying to understand if there was a significant difference between this and the accepted answer - notably the use of . Keep it here, certainly don\'t mind',good
'What would be the best approach in solving that?',good
'Create a custom theme that is based on an existing dialog theme e.g., and ties in with the rest of your app\'s theme. So, for example, if you are using and , you would use or something. Mostly what it does is say that your activity\'s window is with respect to your content view, as opposed to filling the available screen space.',good
'Please include your , and anything else you think would be useful for us to analyze the issue. There may be something missing and I cannot tell without knowing more detail.',good
'Sadly doesn\'t help - what gives you the error - I\'m just using the same lines you use in your own code. What\'s your new code - and what line gives you the error and what is the error message. You can help us help you',good
'Yeah, you can import it with, which is a service worker thing. For a working example albeit with a lot of other stuff going on, you should check out the Google IO web app source code.',good
'After adding the development version locally, the tables worked correctly. However, after adding devtools and running the install on the server, I\'m still getting the error . Any idea why?',good
'So you just want the attribs grouped or what output are you expecting?',good
'Ok I will try this and see if I can make it work. Thanks.',good
'A JSON file is persistent.',good
'I am conversing with a friend as well, and he came up with the same solution, which has proved successful, many thanks.',good
'Can you please provide me a link where I can get the steps to install it.',good
'Here I leave an example.',good
'The feature is now in a technical specification, slated for post C wg.linkpr',good
'or could postgres combine the indexes yes it can do that. But you need to check the execution plan to see whether it actually happens for your queries.',good
'I don\'t see how this leads you to conclude that MinGW has been hacked? A more reasonable conclusion is that your computer is the one with the problem. Anyway, this question is off-topic here and rather unclear at that.',good
'Thanks for your response. So the algorithm would be to change the ACL of the current directory when the UnauthorizedAccessException is thrown ?',good
'otherise map it .. postsArray Itemmodelhas\'posts\'-where\'modelname\', \'LIKE\', q . \'\'-get-eachfunctionitemmodel use postsArray postArray itemmodel-posts',good
'Wow, this is so great, works best for me ! i did not know this way. Thanks for this solution.',good
'It worked. Thanks!',good
'Do you have any code you tried so far?',good
'OK, thx. But how can I overload the operator of boolean?',good
'I found this answer that works to me stackoverflow.coma but i\'ll try your solution too',good
'Thank you Andrei. I believe this is very close. I still receive the following error however with your proposed solution \'Additional information The process cannot access the file \'CUsers.DesktopC TestResultsnewtest.docx\' because it is being used by another process.\' This issue is, I believe, that the file is already open when it is passed to this method. This is why we created the stream in the first place. Do you see a way that the stream can be incorporated into your solution?',good
'Just saw you updated your comment. The square brackets stuff indicates optional portions of the statement. Looks like you might want to review MySQL syntaxes and do a couple practice DELETEs on another test database before doing something like this.',good
'Connect to the Mongo Shell. Your database is called test right? And your collection is users? If so, then run and then to make sure you\'ve removed the index.',good
'error Characters found after end of SQL statement.',good
'Of course since it can\'t reduce the infinite amount of streams. Thank you',good
'Should I make one bool value or two?',good
'Try googling \'pocotimespan example\'. The first hit has a working example.',good
'So how is this supposed to work then, images have to be stored in like AWS or something and static settings point there?',good
'If the files are text, you can view the files as such . Not sure if this is gonna help in any way.',good
'Note I got this to work. You have to put export FORCERPATH path to your oracle install and then use pip to force reinstall of the cxOracle libraries. FORCERPATH is only needed during installation of cxOracle. sources blogs.oracle.comopalentryconfiguringpythoncxoracleand github.comkubofixoralibosx',good
'thanks its works',good
'Make sure sure input isn\'t in mult-byte character format. Count the characters and compare the number to the file\'s size. Add one or two for each newline.',good
'How to render the image in the frontend side if I return the image as a stream like ?',good
'There\'s no need to do . overwrites it.',good
'I am using SQL Server . I think the function to use would be CHARINDEX.',good
'O yah ! Duh! Thank you so much . The life of a newbie !',good
'Yes, you are right. Base entity for my task is curvilinear polygon. Its boundary consists of bezier curves.',good
'I fixed my answer, if you need to insert four columns including empID',good
'Dont execute the code that is written in a function.',good
'ok - i see now. there isnt anything actually in the variable - that was just an example i found on the internet but i suppose i shouldn\'t have included it in my question! - all i need is to send the PUT request with the variables in the URL but they want me to send it using JSON',good
'how to get the value out from sharepreference and related it to integer.parseInt ?',good
'Did you try giving the inset to your label in the storyboard. Or call sizeToFit by code,',good
'I found this code in jqueryui.com . Can I use this code remain unchanged?',good
'yeah , its great help, i ahve downloaded bit eclipse and now i m able to run eclipse, thanks a lot for the promt help.',good
'getUrl returns a URL object. But different input, but that\'s not the case for some of the servers. For most servers if use host, I get all cookies. Suddenly I came across a server which was not returning all cookies for the host, but I changed host to url and not getCookie is returning all cookies.',good
'How about ?',good
'Hi, I get the following error Error Aesthetics must be either length or the same as the data x, y, colour',good
'If I store the data array outside of the component I still have to call the to rerender the component if the data changes.',good
'is it only one model that get returned on the search?.. then get the result test posts-first test-posts for getting all posts from the model..',good
